ltla,phe_region,mid_week,Nt,nt,M,round,start_date,end_date,mid_date,m,l,u
Adur,South East,2020-11-22,1775,39,64301,7,2020-11-13,2020-12-03,2020-11-23,2.1971830985915495,1.6114158527685207,2.9894134350170227
Adur,South East,2021-01-17,2631,314,64301,8,2021-01-06,2021-01-22,2021-01-14,11.93462561763588,10.75100150492201,13.229244316148932
Allerdale,North West,2020-11-22,2639,107,97761,7,2020-11-13,2020-12-03,2020-11-23,4.054566123531641,3.366425895979945,4.876272813533291
Allerdale,North West,2021-01-17,3941,457,97761,8,2021-01-06,2021-01-22,2021-01-14,11.596041613803603,10.633604747290878,12.63327348854783
Amber Valley,East Midlands,2020-11-22,3518,329,128147,7,2020-11-13,2020-12-03,2020-11-23,9.351904491188174,8.433624108739828,10.358858930582302
Amber Valley,East Midlands,2021-01-17,4149,595,128147,8,2021-01-06,2021-01-22,2021-01-14,14.340805013256205,13.307299943832229,15.440280975370888
Arun,South East,2020-11-22,5330,105,160758,7,2020-11-13,2020-12-03,2020-11-23,1.9699812382739212,1.6300321814996632,2.3791132059594955
Arun,South East,2021-01-17,7631,873,160758,8,2021-01-06,2021-01-22,2021-01-14,11.440178220416723,10.745341251060161,12.173817820659206
Ashfield,East Midlands,2020-11-22,4176,304,127918,7,2020-11-13,2020-12-03,2020-11-23,7.2796934865900385,6.5303656482825785,8.107545020064157
Ashfield,East Midlands,2021-01-17,4847,650,127918,8,2021-01-06,2021-01-22,2021-01-14,13.410356921807304,12.479952387983595,14.398713301034318
Ashford,South East,2020-11-22,4014,216,130032,7,2020-11-13,2020-12-03,2020-11-23,5.381165919282512,4.724807041387797,6.1228449450751326
Ashford,South East,2021-01-17,4244,602,130032,8,2021-01-06,2021-01-22,2021-01-14,14.18473138548539,13.167424093600477,15.266816461978564
Babergh,East of England,2020-11-22,2489,110,92036,7,2020-11-13,2020-12-03,2020-11-23,4.41944556046605,3.679826736908779,5.299543291965354
Babergh,East of England,2021-01-17,2938,295,92036,8,2021-01-06,2021-01-22,2021-01-14,10.040844111640572,9.005728980911046,11.180316634842475
Barking and Dagenham,London,2020-11-22,5777,630,212906,7,2020-11-13,2020-12-03,2020-11-23,10.90531417690843,10.127351747296185,11.735234656838154
Barking and Dagenham,London,2021-01-17,10302,1910,212906,8,2021-01-06,2021-01-22,2021-01-14,18.540089303047953,17.801425442928675,19.302206260505848
Barnet,London,2020-11-22,11707,712,395869,7,2020-11-13,2020-12-03,2020-11-23,6.081831382933288,5.663139425679674,6.529335930096177
Barnet,London,2021-01-17,15653,3116,395869,8,2021-01-06,2021-01-22,2021-01-14,19.90672714495624,19.288615079088686,20.539606182662475
Barnsley,Yorkshire and The Humber,2020-11-22,7134,630,246866,7,2020-11-13,2020-12-03,2020-11-23,8.830950378469302,8.19448220884241,9.511731442889557
Barnsley,Yorkshire and The Humber,2021-01-17,7025,695,246866,8,2021-01-06,2021-01-22,2021-01-14,9.8932384341637,9.216815867594233,10.613499938882274
Barrow-in-Furness,North West,2020-11-22,2316,84,67049,7,2020-11-13,2020-12-03,2020-11-23,3.6269430051813467,2.939073220253721,4.468392413542254
Barrow-in-Furness,North West,2021-01-17,2972,317,67049,8,2021-01-06,2021-01-22,2021-01-14,10.666218034993271,9.606768424011964,11.827218152459297
Basildon,East of England,2020-11-22,5506,581,187199,7,2020-11-13,2020-12-03,2020-11-23,10.552124954594987,9.76795148848764,11.391304499800388
Basildon,East of England,2021-01-17,6802,1010,187199,8,2021-01-06,2021-01-22,2021-01-14,14.848573948838578,14.023398028992897,15.713431297198643
Basingstoke and Deane,South East,2020-11-22,4566,177,176582,7,2020-11-13,2020-12-03,2020-11-23,3.8764783180026283,3.3542401419287375,4.476260369855751
Basingstoke and Deane,South East,2021-01-17,5973,818,176582,8,2021-01-06,2021-01-22,2021-01-14,13.694960656286623,12.846395576542491,14.590193968602566
Bassetlaw,East Midlands,2020-11-22,3704,311,117459,7,2020-11-13,2020-12-03,2020-11-23,8.3963282937365,7.5457258801293285,9.333136546198563
Bassetlaw,East Midlands,2021-01-17,3679,433,117459,8,2021-01-06,2021-01-22,2021-01-14,11.76950258222343,10.767869367255441,12.850889912684663
Bath and North East Somerset,South West,2020-11-22,4815,205,193282,7,2020-11-13,2020-12-03,2020-11-23,4.257528556593977,3.7227848592081036,4.865201742077026
Bath and North East Somerset,South West,2021-01-17,5895,630,193282,8,2021-01-06,2021-01-22,2021-01-14,10.687022900763358,9.923801999877641,11.501446799288479
Bedford,East of England,2020-11-22,6049,260,173292,7,2020-11-13,2020-12-03,2020-11-23,4.298231112580591,3.81546931419868,4.839002513364383
Bedford,East of England,2021-01-17,8805,1360,173292,8,2021-01-06,2021-01-22,2021-01-14,15.445769449176606,14.706010778321717,16.21566571630048
Bexley,London,2020-11-22,6981,571,248287,7,2020-11-13,2020-12-03,2020-11-23,8.179343933533879,7.5592460455069554,8.845442100616776
Bexley,London,2021-01-17,9432,1600,248287,8,2021-01-06,2021-01-22,2021-01-14,16.963528413910094,16.219589348885073,17.734366668738762
Birmingham,West Midlands,2020-11-22,32321,3816,1141816,7,2020-11-13,2020-12-03,2020-11-23,11.80656539092231,11.459304171915125,12.162904365590485
Birmingham,West Midlands,2021-01-17,42463,8782,1141816,8,2021-01-06,2021-01-22,2021-01-14,20.68153451239903,20.298963841195057,21.069409353820888
Blaby,East Midlands,2020-11-22,2687,275,101526,7,2020-11-13,2020-12-03,2020-11-23,10.234462225530331,9.144599079051972,11.437864336069646
Blaby,East Midlands,2021-01-17,3079,450,101526,8,2021-01-06,2021-01-22,2021-01-14,14.615134784020785,13.411453800014122,15.907000324008472
Blackburn with Darwen,North West,2020-11-22,4612,505,149696,7,2020-11-13,2020-12-03,2020-11-23,10.949696444058976,10.080782390594372,11.883608454833869
Blackburn with Darwen,North West,2021-01-17,5350,1010,149696,8,2021-01-06,2021-01-22,2021-01-14,18.878504672897193,17.852341585711645,19.949328007741187
Blackpool,North West,2020-11-22,4812,320,139446,7,2020-11-13,2020-12-03,2020-11-23,6.6500415627597675,5.980081714408123,7.389159451981074
Blackpool,North West,2021-01-17,5849,460,139446,8,2021-01-06,2021-01-22,2021-01-14,7.8645922379894,7.202063219111615,8.582431633869447
Bolsover,East Midlands,2020-11-22,2719,226,80562,7,2020-11-13,2020-12-03,2020-11-23,8.311879367414491,7.33211264951204,9.40927555522487
Bolsover,East Midlands,2021-01-17,2945,450,80562,8,2021-01-06,2021-01-22,2021-01-14,15.280135823429541,14.025968400211772,16.62476245264866
Bolton,North West,2020-11-22,7438,851,287550,7,2020-11-13,2020-12-03,2020-11-23,11.441247647216993,10.737674556360636,12.184628589439225
Bolton,North West,2021-01-17,8554,1140,287550,8,2021-01-06,2021-01-22,2021-01-14,13.327098433481414,12.623300881235322,14.063819577939638
Boston,East Midlands,2020-11-22,2602,395,70173,7,2020-11-13,2020-12-03,2020-11-23,15.180630284396617,13.853266551587076,16.61065350515947
Boston,East Midlands,2021-01-17,1987,156,70173,8,2021-01-06,2021-01-22,2021-01-14,7.851031706089582,6.748052466689784,9.116669328273625
"Bournemouth, Christchurch and Poole",South West,2020-11-22,12015,490,395331,7,2020-11-13,2020-12-03,2020-11-23,4.078235538909696,3.739009148509603,4.446816932910643
"Bournemouth, Christchurch and Poole",South West,2021-01-17,17823,2930,395331,8,2021-01-06,2021-01-22,2021-01-14,16.439432194355607,15.902545749773415,16.990782394564093
Bracknell Forest,South East,2020-11-22,2821,107,122549,7,2020-11-13,2020-12-03,2020-11-23,3.792981212336051,3.1485792417034473,4.563055623342674
Bracknell Forest,South East,2021-01-17,4046,530,122549,8,2021-01-06,2021-01-22,2021-01-14,13.099357390014829,12.09465030957953,14.17406834614984
Bradford,Yorkshire and The Humber,2020-11-22,17464,1840,539776,7,2020-11-13,2020-12-03,2020-11-23,10.53595968850206,10.08926401167785,11.000012917615972
Bradford,Yorkshire and The Humber,2021-01-17,15095,1760,539776,8,2021-01-06,2021-01-22,2021-01-14,11.659489897316993,11.15723877029049,12.181250268297818
Braintree,East of England,2020-11-22,4140,205,152604,7,2020-11-13,2020-12-03,2020-11-23,4.951690821256038,4.331598602745899,5.655305165972854
Braintree,East of England,2021-01-17,6463,885,152604,8,2021-01-06,2021-01-22,2021-01-14,13.693331270307906,12.876746769534739,14.553049833893594
Breckland,East of England,2020-11-22,4146,98,139968,7,2020-11-13,2020-12-03,2020-11-23,2.363724071394115,1.943514888441212,2.8721259210629966
Breckland,East of England,2021-01-17,6032,639,139968,8,2021-01-06,2021-01-22,2021-01-14,10.593501326259947,9.841779926265083,11.395382573214237
Brent,London,2020-11-22,7866,695,329771,7,2020-11-13,2020-12-03,2020-11-23,8.835494533435037,8.228228690462283,9.48294714597653
Brent,London,2021-01-17,12159,2891,329771,8,2021-01-06,2021-01-22,2021-01-14,23.77662636729994,23.02829217585474,24.54152511075229
Brentwood,East of England,2020-11-22,2537,156,77021,7,2020-11-13,2020-12-03,2020-11-23,6.148994875837603,5.2788696443524366,7.151715417310117
Brentwood,East of England,2021-01-17,2956,320,77021,8,2021-01-06,2021-01-22,2021-01-14,10.825439783491204,9.755801355761173,11.996764373797305
Brighton and Hove,South East,2020-11-22,6915,228,290885,7,2020-11-13,2020-12-03,2020-11-23,3.297180043383948,2.90156374533245,3.744656746314332
Brighton and Hove,South East,2021-01-17,10643,1240,290885,8,2021-01-06,2021-01-22,2021-01-14,11.650850324156723,11.05510852874926,12.274265430913502
"Bristol, City of",South West,2020-11-22,14118,1209,463377,7,2020-11-13,2020-12-03,2020-11-23,8.56353591160221,8.113151881520315,9.036463243977213
"Bristol, City of",South West,2021-01-17,16970,1964,463377,8,2021-01-06,2021-01-22,2021-01-14,11.573364761343548,11.100723186848585,12.063399491918734
Broadland,East of England,2020-11-22,3460,164,130783,7,2020-11-13,2020-12-03,2020-11-23,4.7398843930635834,4.0806669475883375,5.499490307463209
Broadland,East of England,2021-01-17,4643,568,130783,8,2021-01-06,2021-01-22,2021-01-14,12.233469739392634,11.322048630271176,13.207332647780229
Bromley,London,2020-11-22,7603,445,332336,7,2020-11-13,2020-12-03,2020-11-23,5.85295278179666,5.347258788308917,6.403235338057015
Bromley,London,2021-01-17,10099,1770,332336,8,2021-01-06,2021-01-22,2021-01-14,17.526487771066442,16.797369351716142,18.280301353752563
Bromsgrove,West Midlands,2020-11-22,2925,191,99881,7,2020-11-13,2020-12-03,2020-11-23,6.52991452991453,5.690388632822445,7.483470869154635
Bromsgrove,West Midlands,2021-01-17,3680,535,99881,8,2021-01-06,2021-01-22,2021-01-14,14.538043478260871,13.436173853423222,15.713871576720296
Broxbourne,East of England,2020-11-22,2409,204,97279,7,2020-11-13,2020-12-03,2020-11-23,8.468244084682441,7.42152242653855,9.647210262677866
Broxbourne,East of England,2021-01-17,3411,658,97279,8,2021-01-06,2021-01-22,2021-01-14,19.290530636177074,18.00120749139536,20.648945809616094
Broxtowe,East Midlands,2020-11-22,2681,170,114033,7,2020-11-13,2020-12-03,2020-11-23,6.340917568071615,5.479464116856254,7.327305448290628
Broxtowe,East Midlands,2021-01-17,3345,464,114033,8,2021-01-06,2021-01-22,2021-01-14,13.871449925261583,12.741487508112185,15.084298522046591
Buckinghamshire,South East,2020-11-22,13952,714,543973,7,2020-11-13,2020-12-03,2020-11-23,5.117545871559633,4.764101789554639,5.49569847433922
Buckinghamshire,South East,2021-01-17,18312,2667,543973,8,2021-01-06,2021-01-22,2021-01-14,14.564220183486237,14.060742612074783,15.08256194655936
Burnley,North West,2020-11-22,2792,305,88920,7,2020-11-13,2020-12-03,2020-11-23,10.92406876790831,9.820229678989339,12.135287751516785
Burnley,North West,2021-01-17,3999,629,88920,8,2021-01-06,2021-01-22,2021-01-14,15.728932233058265,14.633488460148971,16.890154726869834
Bury,North West,2020-11-22,5185,583,190990,7,2020-11-13,2020-12-03,2020-11-23,11.24397299903568,10.412635401404021,12.132695152722652
Bury,North West,2021-01-17,5508,760,190990,8,2021-01-06,2021-01-22,2021-01-14,13.798111837327523,12.912518244942733,14.734166990933645
Calderdale,Yorkshire and The Humber,2020-11-22,5961,613,211455,7,2020-11-13,2020-12-03,2020-11-23,10.283509478275457,9.537838911343028,11.080336228953922
Calderdale,Yorkshire and The Humber,2021-01-17,5275,490,211455,8,2021-01-06,2021-01-22,2021-01-14,9.289099526066352,8.535104465351786,10.102345939163426
Cambridge,East of England,2020-11-22,4526,132,124798,7,2020-11-13,2020-12-03,2020-11-23,2.916482545293858,2.4647722726588603,3.448049649599417
Cambridge,East of England,2021-01-17,5715,500,124798,8,2021-01-06,2021-01-22,2021-01-14,8.748906386701663,8.043789906900914,9.509441216028316
Camden,London,2020-11-22,17551,370,270029,7,2020-11-13,2020-12-03,2020-11-23,2.1081419862116118,1.905856910494667,2.331387046197062
Camden,London,2021-01-17,21724,1485,270029,8,2021-01-06,2021-01-22,2021-01-14,6.835757687350395,6.5077519127453245,7.179026244472062
