upper,lower,mean,var,mid_week,phe_region,alpha,beta
0.6834758543368227,0.5288926242730122,0.6098902647540172,0.0015138561869274653,2020-07-05,East of England,95.24307893710291,60.92120903610592
0.706560143771148,0.5769021725318124,0.6455222952427223,0.001056105447960822,2020-07-12,East of England,139.2178950462355,76.44916412774438
0.7008395153242987,0.5742057984152447,0.6406736676877534,0.0010116456045138752,2020-07-19,East of England,145.15156157743604,81.40927414615561
0.7056606962462338,0.5773496101814053,0.6450470741321198,0.001037193608964941,2020-07-26,East of England,141.74962758871706,78.0011987822644
0.6978658224435723,0.5707754161148011,0.6374001372332275,0.0010113685247382462,2020-08-02,East of England,145.02333821152249,82.49989207993539
0.6928824979769015,0.55733588818545,0.6279713719445,0.001153661579897801,2020-08-09,East of England,126.53996447275694,74.96598010705506
0.7064021254140697,0.5759287647149139,0.6449202471145975,0.0010730145212860926,2020-08-16,East of England,136.991171794478,75.42450658960549
0.7375243417674455,0.6249902872416164,0.6859521228991089,7.98213650709587e-4,2020-08-23,East of England,184.43872768891893,84.44115697330335
0.7495898880366401,0.6571479498847977,0.7073036902828638,5.360045460504084e-4,2020-08-30,East of England,272.48006919860677,112.75766240383541
0.7365344122653807,0.6405626989655143,0.6920052808009407,5.807280952174604e-4,2020-09-06,East of England,253.28198953148936,112.72965309403473
0.7154862904965806,0.6054763379267462,0.6637486835481474,7.618901951850412e-4,2020-09-13,East of England,193.77327033101307,98.16443912729429
0.7277938276209179,0.6112857032773851,0.6738672341145746,8.578063065510936e-4,2020-09-20,East of England,171.97108245826539,83.22916137645106
0.7514659884606285,0.6554188632667889,0.7077537248351871,5.796334100111256e-4,2020-09-27,East of England,251.84953214514064,103.99392484802212
0.7666162101099109,0.6854279062244257,0.7295843567363511,4.209404675984084e-4,2020-10-04,East of England,341.2200624189795,126.47097189178729
0.7560601957144084,0.67683835999123,0.7196860621433937,3.958407362711271e-4,2020-10-11,East of England,366.06432084330675,142.5801285893826
0.7512918383442446,0.6607697553545471,0.7094262065337907,5.151077375835048e-4,2020-10-18,East of England,283.19543216716625,115.99398254425284
0.7391192394571208,0.6460797591930626,0.6961016430216046,5.45801155945244e-4,2020-10-25,East of England,269.10220442996365,117.48243752240657
0.7230520539355657,0.6155401680553876,0.6727408632302957,7.310902459227906e-4,2020-11-01,East of England,201.91651401675708,98.22359200744931
0.7333629880082305,0.623916598650773,0.6828338210281645,7.550408733356738e-4,2020-11-08,East of England,195.17748416984517,90.65704563707074
0.7245230261333993,0.6200609504422812,0.6759392871193158,6.904781133235786e-4,2020-11-15,East of England,213.75717094092354,102.48006369578935
0.6948348026919304,0.5723402712457247,0.6361955926433204,9.41977262972539e-4,2020-11-22,East of England,155.68175342845757,89.0256215183219
0.6973527526331547,0.5602626302987095,0.6319722999015945,0.0011782204980276608,2020-11-29,East of England,124.12074664066277,72.28144798082589
0.7353678710608135,0.6187608349323485,0.6819105243791256,8.538580395710629e-4,2020-12-06,East of England,172.54621850985805,80.48729885220362
